GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},16,0,2,0,4,0,3,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,JSONReader,68,0,8,0,19,0,10,0,6,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},11,0,0,0,3,0,2,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},35,0,4,0,8,0,4,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},16,0,2,0,4,0,3,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},52,0,6,0,9,0,5,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,ParseException,7,0,0,0,4,0,2,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.threadpool.support,AbortPolicyWithReport,201,0,6,0,36,0,8,0,5,0
dubbo-all/dubbo-common,org.apache.dubbo.common.compiler.support,JdkCompiler.new PrivilegedAction() {...},17,0,0,0,2,0,2,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.compiler.support,JdkCompiler.JavaFileManagerImpl,209,0,28,0,40,0,22,0,8,0
dubbo-all/dubbo-common,org.apache.dubbo.common.compiler.support,ClassUtils,842,0,169,0,191,0,131,0,39,0
dubbo-all/dubbo-common,org.apache.dubbo.common.compiler.support,AbstractCompiler,130,0,10,0,22,0,8,0,3,0
dubbo-all/dubbo-common,org.apache.dubbo.common.compiler.support,JavassistCompiler,169,0,12,0,31,0,12,0,6,0
dubbo-all/dubbo-common,org.apache.dubbo.common.compiler.support,JdkCompiler.ClassLoaderImpl,93,0,6,0,21,0,9,0,6,0
dubbo-all/dubbo-common,org.apache.dubbo.common.compiler.support,JdkCompiler,208,0,14,0,33,0,9,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.compiler.support,AdaptiveCompiler,31,0,4,0,9,0,5,0,3,0
dubbo-all/dubbo-common,org.apache.dubbo.common.compiler.support,JdkCompiler.JavaFileObjectImpl,61,0,2,0,15,0,8,0,7,0
dubbo-all/dubbo-common,org.apache.dubbo.common.compiler.support,CtClassBuilder,251,0,16,0,56,0,25,0,17,0
dubbo-all/dubbo-common,org.apache.dubbo.common.extension.support,ActivateComparator.ActivateInfo,24,0,4,0,3,0,5,0,3,0
dubbo-all/dubbo-common,org.apache.dubbo.common.extension.support,ActivateComparator,206,0,44,0,51,0,27,0,5,0
dubbo-all/dubbo-common,org.apache.dubbo.common.status.support,StatusUtils,78,0,12,0,20,0,8,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.status.support,LoadStatusChecker,79,0,8,0,13,0,6,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.status.support,MemoryStatusChecker,81,0,4,0,8,0,4,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.threadpool.support.eager,EagerThreadPool,62,0,2,0,10,0,3,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.threadpool.support.eager,TaskQueue,55,0,8,0,15,0,8,0,4,0
dubbo-all/dubbo-common,org.apache.dubbo.common.threadpool.support.eager,EagerThreadPoolExecutor,80,0,4,0,24,0,6,0,4,0
dubbo-all/dubbo-common,org.apache.dubbo.common.io,UnsafeByteArrayOutputStream,165,0,18,0,33,0,21,0,12,0
dubbo-all/dubbo-common,org.apache.dubbo.common.io,StreamUtils,31,0,4,0,8,0,6,0,4,0
dubbo-all/dubbo-common,org.apache.dubbo.common.io,UnsafeByteArrayInputStream,187,0,22,0,41,0,25,0,14,0
dubbo-all/dubbo-common,org.apache.dubbo.common.io,StreamUtils.new InputStream() {...},197,0,22,0,50,0,18,0,7,0
dubbo-all/dubbo-common,org.apache.dubbo.common.io,StreamUtils.new InputStream() {...},168,0,20,0,36,0,19,0,9,0
dubbo-all/dubbo-common,org.apache.dubbo.common.io,Bytes,2135,0,130,0,296,0,119,0,54,0
dubbo-all/dubbo-common,org.apache.dubbo.common.io,UnsafeStringWriter,134,0,18,0,33,0,22,0,13,0
dubbo-all/dubbo-common,org.apache.dubbo.common.io,UnsafeStringReader,173,0,22,0,43,0,21,0,10,0
dubbo-all/dubbo-common,org.apache.dubbo.common.extension.factory,AdaptiveExtensionFactory,56,0,6,0,14,0,5,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.extension.factory,SpiExtensionFactory,22,0,6,0,6,0,5,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.threadpool.support.limited,LimitedThreadPool,57,0,4,0,9,0,4,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.utils,NamedThreadFactory,87,0,2,0,17,0,7,0,6,0
